"Original Text","Initial","Machine translation","Better translation","Best translation"
"参りましょう！","","Let's go!","",""
"やりましたね！","","We did it!","",""
"お怪我は
ないですか…？","","Are you hurt...?","",""
"これは
いいもの？","","Is this good?","",""
"お兄ちゃん…。","","Onii-chan...","",""
"ついていきます！","","I'll follow you!","",""
"いいこと
ありました！","","We got something good!","",""
"い、いま
手当します！","","I'll treat you now!","",""
"ここに
なにかあります！","","There's something here!","",""
"うぅ…
酷いです…","","Ugh... it's terrible...","",""
"さあいこうか！","","Well, let's go!","",""
"やったね！","","We did it!!","",""
"まだまだ…！","","More..!","",""
"いいねー","","Nice!","",""
"ひどいよ…","","It's terrible...","",""
"さあいっくよー","","Here we go","",""
"お、いいねー","","Oh, nice","",""
"ダメなときも
あるよね…","","Sometimes it's not so good...","",""
"みっけ！","","Found one!","",""
"みんなには
ナイショだよ…","","Don't tell anyone...","",""
"仕事の時間ですか","","Is it time to work?","",""
"一息いれましょう","","Let's take a break","",""
"大丈夫ですか？","","Are you okay?","",""
"見つけました","","I found it","",""
"…気が済み
ましたか？","","Are you... are you all right?","",""
"はい！
いきましょう！","","Yeah! Let's go!","",""
"やりました！","","We did it!!!","",""
"私が不甲斐ない
ばかりに…","","I'm just not worthy...","",""
"これは…
なんでしょうか？","","What is this?","",""
"このような事を
私が…","","This is what I...","",""
"まかせて！","","Leave it to me!","",""
"へへん！","","Heheh *smug*!","",""
"あいたたた…","","Ow, ow...","",""
"あれ？
なんかあるよ","","Huh? There's something in there","",""
"スッキリした？","","Feeling refreshed?","",""
"だ、大丈夫
でしょうか…","","Are you okay...?","",""
"少し休みましょう…","","Let's take a break...","",""
"やっぱり私なんか…","","I'm not good enough for that...","",""
"あら、これは…","","Oh, my...","",""
"う、うぅ…
やっぱり…","","I knew it...","",""
"ご加護が
ありますように…","","May God bless you...","",""
"感謝を","","Thank you","",""
"この試練を
乗り越えましょう","","Let's get through this ordeal","",""
"神の贈り物です","","It's a gift from God","",""
"ああ、神よ…","","Oh, God...","",""
"はいはい
お姉さんに任せてね","","I know, I know. Leave it to me","",""
"休みは大事だよ","","","",""
"あいったー…
大丈夫？","","Ow... are you okay?","",""
"拾えるものは
拾っとけ！","","Pick up what you can pick up!","",""
"よかった？","","Good?","",""
"わわわ私が
守ってみせます…！","","I'll, I'll protect you...!","",""
"はぁはぁ…","","Haa haa...","",""
"ああっ…
もっと…もっと強く！","","Ahh... more... stronger!","",""
"先を急ぎましょう！","","Let's hurry on ahead!","",""
"ああっそんな…！
有難うございます！
","","Oh no..! Thank you very much!","",""
"きみを守ろう","","I'll protect you","",""
"無理はするな
ゆっくりいこう","","Take it easy","",""
"すまん
怪我はないか？","","Sorry... are you hurt?","",""
"これはきっと
良いものだな","","This must be good","",""
"これも役目か…","","I'm doing my part...","",""
"いきますよ～","","I'm going...","",""
"いいねぇ～","","Nice...","",""
"あちゃ～
だいじょうぶ？","","Oh no! Are you okay?","",""
"お、いいものみっけ","","Oh, I found a good one","",""
"ん…
仕方ないなぁ","","I don't have a choice","",""
"はい！
フォウ行きます！","","Yeah! Let's go!!","",""
"この調子で
まいりましょう！","","Let's keep it up!","",""
"不覚…！","","I can't believe I missed it..!","",""
"おめでとう","","Congratulations","",""
"人には
言えないな","","I can't tell people about this","",""
"はっじまるよー！","","I can't sing anymore..!","",""
"もう歌えない…","","I can't sing anymore...","",""
"みてみてー！","","Look, look..!","",""
"皆にはナイショ
だからね…","","I can't tell anyone...","",""
"……。","",".......","",""
"…はい","","...Yes...","",""
"…っ","","...Gh...","",""
"…これ","","...this","",""
"……ん","","......Hmm","",""
"しょうがない
ですねー","","It can't be helped...","",""
"ひと休み
ですか？","","A rest?","",""
"お注射します！","","I'll give you an injection!","",""
"おたから発見！","","I found this!","",""
"こんな身体でも
欲情するとはね…","","Even with a body like this, I can't believe I'm still lusting after you","",""
"いくよ！
お兄ちゃん！","","Here I go! Onii-chan!","",""
"やった…！","","We did it..!","",""
"大丈夫…？","","Are you alright...?","",""
"あ、これ！","","Oh, here!","",""
"お兄ちゃん…","","Onii-chan...","",""
