"Original Text","Initial","Machine translation","Better translation","Best translation"
"ニューゲーム処理","","","",""
"\E<C>この物語はフィクションです、
実在の人物及び団体とは 一切関係ありません。

当作品の二次配布、販売行為、
デコンパイルし得られたデータの公表や改変、流用しての販売行為、
その他商用利用など禁止といたします。
　","","","\E\font[3]\f[18]\-[2]<C>This story is a work of fiction and has no relation to any actual 
person or organization",""
"message","","","\font[3]\f[18]message",""
"行動力関連","","","",""
"初期アイテム所持数を決めます","","","",""
"初期ステータスを決めます","","","",""
"仲間の強さです","","","",""
"BGM/Acoustic_High_Collar.ogg","","","",""
"cg/blackscreen.jpg","","","",""
"設問1","","","",""
"\E目を閉じると脳裏に浮かぶ光景がある。
夕日に朱く染まる小高い丘の上、風のざわめき。
見下ろした先には…？","","\EWhen I close my eyes, a scene comes to mind.
On top of a small, crimson-stained hill bathed in the evening sun, there is a rustling of the wind.
And what lies beyond when I look down...?","\E\font[3]\f[18]\-[2]When I close my eyes, a scene comes to mind.
On top of a small, crimson-stained hill bathed in the evening sun, there is a rustling of the wind.
And what lies beyond when I look down...?",""
"戦場が広がっている","","The battlefield is expanding.","\font[3]\f[18]A battlefield spreads out",""
"広大な森が広がっている","","A vast forest spreads out.","\font[3]\f[18]A vast forest stretches out",""
"風に揺れる麦畑だ","","A swaying wheat field in the wind.","\font[3]\f[18]A swaying wheat field in the wind.",""
"家族の待つ我が家だ","","It's my home where my family awaits.","\font[3]\f[18]My home where my family awaits ",""
"設問2","","","",""
"\Eあなたは戦いの最中ついに追い詰められてしまった。
多勢に無勢、足元は崖、逃げ道はない、どうする？","","\EYou have finally been cornered in the midst of battle.
Outnumbered and with a cliff at your feet, there is no escape route. What will you do?","\E\font[3]\f[18]\-[2]You have finally been cornered in the heat of battle. 
Vastly outnumbered and with a cliff at your back, there is no escape route. What will you do?",""
"突破する","","Breakthrough","\font[3]\f[18]Breakthrough and charge forward",""
"飛び降りる","","Jump off.","\font[3]\f[18]Jump off the cliff",""
"好機を待つ","","Waiting for a good opportunity","\font[3]\f[18]Wait for a good opportunity",""
"降参する","","Surrender.","\font[3]\f[18]Surrender",""
"設問3","","","",""
