"Original Text","Initial","Machine translation","Better translation","Best translation"
"ステータスバー表示","","","",""
"hscene/header_bar.jpg","","","",""
"\f[16]\cdb[0:12:0]\cdb[0:12:1]お兄ちゃん","","","\font[3]\f[13]\cdb[0:12:0]\cdb[0:12:1] Onii-chan",""
"行動力","","","",""
"\c[2]\f[14]負傷中","","","\font[3]\f[13]\c[2]Injured",""
"\f[14]行動力","","","\font[3]\f[13]Stamina",""
"<SQUARE><FRAME>","","","",""
"<SQUARE>","","","",""
"\f[12] \v[14]/\v[13]","","","\font[3]\f[11]\v[14]/\v[13]",""
"精力","","","",""
"\f[14]精力 \v[16]/\v[15]","","","\font[3]\f[13]Vigor \v[16]/\v[15]",""
"性欲","","","",""
"\f[14]性欲","","","\font[3]\f[13]Lust",""
"\f[14]\v[18]％","","","\font[3]\f[13]\v[18]%",""
"所持金","","","",""
"調子の監視","","","",""
"精力の監視","","","",""
"体調の監視","","","",""
"ギルド評判の監視","","","",""
"信頼の監視","","","",""
"興味の監視","","","",""
"機嫌の監視","","","",""
"性欲の監視","","","",""
"\f[14]所持金","","","\font[3]\f[13]Money",""
"\f[24] \v[7] \f[14]G","","","\font[3]\f[19] \v[7] G",""
"ゲーム中の各種ステータスの表示を行います","","","",""
